event_id,payment_id,amount_inr,currency,method,failure_reason,failure_type,successful_payments,split,p_retry,p_link,p_human
evt_syn_00001,pay_syn_00001,480,INR,card,authentication failed,authentication_failed,0,holdout,0.22,0.6,0.42
evt_syn_00002,pay_syn_00002,16424,INR,card,authentication failed,authentication_failed,2,train,0.22,0.6,0.42
evt_syn_00003,pay_syn_00003,1108,INR,netbanking,card expired,card_expired,2,train,0.08,0.68,0.45
evt_syn_00004,pay_syn_00004,4560,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,0,train,0.05,0.62,0.4
evt_syn_00005,pay_syn_00005,980,INR,card,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00006,pay_syn_00006,2083,INR,upi,card expired,card_expired,5,train,0.14,0.74,0.45
evt_syn_00007,pay_syn_00007,3261,INR,netbanking,network error,network_error,1,holdout,0.58,0.5,0.35
evt_syn_00008,pay_syn_00008,270,INR,card,card expired,card_expired,0,holdout,0.08,0.68,0.45
evt_syn_00009,pay_syn_00009,16654,INR,upi,network error,network_error,1,train,0.58,0.5,0.35
evt_syn_00010,pay_syn_00010,1858,INR,card,card expired,card_expired,3,train,0.14,0.74,0.45
evt_syn_00011,pay_syn_00011,7677,INR,card,insufficient funds,insufficient_funds,2,holdout,0.72,0.55,0.5
evt_syn_00012,pay_syn_00012,3804,INR,card,authentication failed,authentication_failed,1,train,0.22,0.6,0.42
evt_syn_00013,pay_syn_00013,2096,INR,netbanking,insufficient funds,insufficient_funds,0,holdout,0.72,0.55,0.5
evt_syn_00014,pay_syn_00014,11482,INR,upi,card expired,card_expired,5,train,0.14,0.74,0.45
evt_syn_00015,pay_syn_00015,13830,INR,netbanking,insufficient funds,insufficient_funds,1,train,0.72,0.55,0.5
evt_syn_00016,pay_syn_00016,1566,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,2,holdout,0.05,0.62,0.4
evt_syn_00017,pay_syn_00017,362,INR,upi,bank decline,bank_decline,3,train,0.18,0.58,0.4
evt_syn_00018,pay_syn_00018,2917,INR,netbanking,card expired,card_expired,2,holdout,0.08,0.68,0.45
evt_syn_00019,pay_syn_00019,13797,INR,card,insufficient funds,insufficient_funds,3,train,0.78,0.61,0.5
evt_syn_00020,pay_syn_00020,4906,INR,card,card expired,card_expired,3,holdout,0.14,0.74,0.45
evt_syn_00021,pay_syn_00021,1435,INR,card,bank decline,bank_decline,5,holdout,0.18,0.58,0.4
evt_syn_00022,pay_syn_00022,581,INR,netbanking,international_transaction_not_allowed,international_transaction_not_allowed,3,holdout,0.11,0.68,0.4
evt_syn_00023,pay_syn_00023,24813,INR,card,network error,network_error,1,train,0.58,0.5,0.35
evt_syn_00024,pay_syn_00024,70153,INR,card,card expired,card_expired,0,holdout,0.0,0.6,0.45
evt_syn_00025,pay_syn_00025,696,INR,netbanking,network error,network_error,5,holdout,0.64,0.56,0.35
evt_syn_00026,pay_syn_00026,3251,INR,netbanking,insufficient funds,insufficient_funds,0,holdout,0.72,0.55,0.5
evt_syn_00027,pay_syn_00027,751,INR,card,card expired,card_expired,3,holdout,0.14,0.74,0.45
evt_syn_00028,pay_syn_00028,11118,INR,netbanking,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00029,pay_syn_00029,220,INR,card,card expired,card_expired,2,train,0.08,0.68,0.45
evt_syn_00030,pay_syn_00030,5964,INR,card,insufficient funds,insufficient_funds,0,holdout,0.72,0.55,0.5
evt_syn_00031,pay_syn_00031,884,INR,netbanking,insufficient funds,insufficient_funds,2,train,0.72,0.55,0.5
evt_syn_00032,pay_syn_00032,2936,INR,upi,network error,network_error,0,holdout,0.58,0.5,0.35
evt_syn_00033,pay_syn_00033,640,INR,upi,insufficient funds,insufficient_funds,1,train,0.72,0.55,0.5
evt_syn_00034,pay_syn_00034,6612,INR,card,authentication failed,authentication_failed,0,holdout,0.22,0.6,0.42
evt_syn_00035,pay_syn_00035,748,INR,upi,insufficient funds,insufficient_funds,1,train,0.72,0.55,0.5
evt_syn_00036,pay_syn_00036,16235,INR,netbanking,international_transaction_not_allowed,international_transaction_not_allowed,1,train,0.05,0.62,0.4
evt_syn_00037,pay_syn_00037,1060,INR,card,authentication failed,authentication_failed,8,train,0.28,0.66,0.42
evt_syn_00038,pay_syn_00038,609,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,5,train,0.11,0.68,0.4
evt_syn_00039,pay_syn_00039,4211,INR,card,network error,network_error,3,train,0.64,0.56,0.35
evt_syn_00040,pay_syn_00040,86422,INR,upi,network error,network_error,3,train,0.56,0.48,0.35
evt_syn_00041,pay_syn_00041,43978,INR,card,card expired,card_expired,3,holdout,0.06,0.66,0.45
evt_syn_00042,pay_syn_00042,3059,INR,netbanking,insufficient funds,insufficient_funds,5,train,0.78,0.61,0.5
evt_syn_00043,pay_syn_00043,389,INR,card,network error,network_error,0,train,0.58,0.5,0.35
evt_syn_00044,pay_syn_00044,782,INR,netbanking,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00045,pay_syn_00045,14260,INR,card,insufficient funds,insufficient_funds,2,train,0.72,0.55,0.5
evt_syn_00046,pay_syn_00046,604,INR,card,authentication failed,authentication_failed,0,train,0.22,0.6,0.42
evt_syn_00047,pay_syn_00047,25305,INR,netbanking,network error,network_error,2,holdout,0.5,0.42,0.35
evt_syn_00048,pay_syn_00048,470,INR,card,insufficient funds,insufficient_funds,0,holdout,0.72,0.55,0.5
evt_syn_00049,pay_syn_00049,1646,INR,netbanking,bank decline,bank_decline,1,holdout,0.12,0.52,0.4
evt_syn_00050,pay_syn_00050,84664,INR,netbanking,authentication failed,authentication_failed,0,train,0.14,0.52,0.42
evt_syn_00051,pay_syn_00051,29400,INR,card,authentication failed,authentication_failed,1,holdout,0.14,0.52,0.42
evt_syn_00052,pay_syn_00052,1862,INR,card,insufficient funds,insufficient_funds,3,train,0.78,0.61,0.5
evt_syn_00053,pay_syn_00053,2028,INR,card,bank decline,bank_decline,5,train,0.18,0.58,0.4
evt_syn_00054,pay_syn_00054,1014,INR,card,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00055,pay_syn_00055,14038,INR,netbanking,card expired,card_expired,3,train,0.14,0.74,0.45
evt_syn_00056,pay_syn_00056,17442,INR,card,insufficient funds,insufficient_funds,2,train,0.72,0.55,0.5
evt_syn_00057,pay_syn_00057,514,INR,card,insufficient funds,insufficient_funds,1,holdout,0.72,0.55,0.5
evt_syn_00058,pay_syn_00058,304,INR,netbanking,card expired,card_expired,1,holdout,0.08,0.68,0.45
evt_syn_00059,pay_syn_00059,7532,INR,card,card expired,card_expired,8,holdout,0.14,0.74,0.45
evt_syn_00060,pay_syn_00060,11755,INR,card,network error,network_error,0,holdout,0.58,0.5,0.35
evt_syn_00061,pay_syn_00061,9065,INR,card,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00062,pay_syn_00062,1817,INR,upi,insufficient funds,insufficient_funds,5,train,0.78,0.61,0.5
evt_syn_00063,pay_syn_00063,18652,INR,card,bank decline,bank_decline,0,train,0.12,0.52,0.4
evt_syn_00064,pay_syn_00064,990,INR,netbanking,card expired,card_expired,1,train,0.08,0.68,0.45
evt_syn_00065,pay_syn_00065,4847,INR,card,network error,network_error,0,train,0.58,0.5,0.35
evt_syn_00066,pay_syn_00066,1444,INR,card,network error,network_error,2,holdout,0.58,0.5,0.35
evt_syn_00067,pay_syn_00067,13379,INR,netbanking,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00068,pay_syn_00068,3129,INR,netbanking,insufficient funds,insufficient_funds,8,train,0.78,0.61,0.5
evt_syn_00069,pay_syn_00069,8228,INR,card,network error,network_error,1,holdout,0.58,0.5,0.35
evt_syn_00070,pay_syn_00070,7041,INR,card,network error,network_error,3,train,0.64,0.56,0.35
evt_syn_00071,pay_syn_00071,3855,INR,card,authentication failed,authentication_failed,1,train,0.22,0.6,0.42
evt_syn_00072,pay_syn_00072,4064,INR,netbanking,authentication failed,authentication_failed,5,train,0.28,0.66,0.42
evt_syn_00073,pay_syn_00073,19978,INR,upi,card expired,card_expired,1,holdout,0.08,0.68,0.45
evt_syn_00074,pay_syn_00074,2809,INR,card,authentication failed,authentication_failed,1,train,0.22,0.6,0.42
evt_syn_00075,pay_syn_00075,49115,INR,card,bank decline,bank_decline,0,train,0.04,0.44,0.4
evt_syn_00076,pay_syn_00076,6530,INR,card,authentication failed,authentication_failed,5,train,0.28,0.66,0.42
evt_syn_00077,pay_syn_00077,224,INR,upi,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00078,pay_syn_00078,4629,INR,card,bank decline,bank_decline,2,holdout,0.12,0.52,0.4
evt_syn_00079,pay_syn_00079,1604,INR,card,card expired,card_expired,3,holdout,0.14,0.74,0.45
evt_syn_00080,pay_syn_00080,21965,INR,netbanking,bank decline,bank_decline,0,train,0.12,0.52,0.4
evt_syn_00081,pay_syn_00081,16988,INR,upi,international_transaction_not_allowed,international_transaction_not_allowed,2,train,0.05,0.62,0.4
evt_syn_00082,pay_syn_00082,4891,INR,upi,network error,network_error,3,train,0.64,0.56,0.35
evt_syn_00083,pay_syn_00083,4402,INR,upi,authentication failed,authentication_failed,5,holdout,0.28,0.66,0.42
evt_syn_00084,pay_syn_00084,2061,INR,card,bank decline,bank_decline,3,holdout,0.18,0.58,0.4
evt_syn_00085,pay_syn_00085,9499,INR,card,international_transaction_not_allowed,international_transaction_not_allowed,1,train,0.05,0.62,0.4
evt_syn_00086,pay_syn_00086,16320,INR,card,card expired,card_expired,0,train,0.08,0.68,0.45
evt_syn_00087,pay_syn_00087,623,INR,netbanking,insufficient funds,insufficient_funds,1,train,0.72,0.55,0.5
evt_syn_00088,pay_syn_00088,21381,INR,netbanking,insufficient funds,insufficient_funds,5,holdout,0.78,0.61,0.5
evt_syn_00089,pay_syn_00089,24432,INR,card,insufficient funds,insufficient_funds,1,holdout,0.72,0.55,0.5
evt_syn_00090,pay_syn_00090,4652,INR,upi,card expired,card_expired,8,train,0.14,0.74,0.45
evt_syn_00091,pay_syn_00091,8613,INR,card,authentication failed,authentication_failed,2,train,0.22,0.6,0.42
evt_syn_00092,pay_syn_00092,3781,INR,card,insufficient funds,insufficient_funds,3,holdout,0.78,0.61,0.5
evt_syn_00093,pay_syn_00093,85004,INR,upi,network error,network_error,0,train,0.5,0.42,0.35
